#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
76.53;1;76.53;76.53;-3523.47
81.83;10;81.83;81.83;-7118.17
83.95;2;83.95;83.95;-3516.05
89.41;6;89.41;89.41;-7110.59
89.46;11;89.46;89.46;-7110.54
93.29;9;93.29;93.29;-7106.71
96.36;1;96.36;96.36;-3503.64
106.86;4;106.86;106.86;-3493.14
109.5;6;109.5;109.5;-7090.5
109.54;11;109.54;109.54;-7090.46
113.68;9;113.68;113.68;-7086.32
114.28;2;114.28;114.28;-3485.72
122;8;122;122;-7078
122.4;0;122.4;122.4;-3477.6
124.66;3;124.66;124.66;-3475.34
134.2;2;134.2;19.88;-7065.8
136.44;5;136.44;136.44;-7063.56
136.73;1;136.73;40.11;-7063.27
137.25;4;137.25;137.25;-7062.75
142.12;8;142.12;142.12;-7057.88
142.66;0;142.66;142.66;-3457.34
149.53;6;149.53;60.07;-7050.47
153.07;7;153.07;153.07;-7046.93
154.89;3;154.89;154.89;-3445.11
162.35;8;162.35;40.31;-3437.65
163.12;7;163.12;163.12;-7036.88
166.54;5;166.54;166.54;-7033.46
169.61;6;169.61;60.07;-7030.39
169.78;11;169.78;169.78;-7030.22
182.41;8;182.41;40.16;-7017.59
183.08;7;183.08;29.97;-7016.92
186.86;5;186.86;186.86;-7013.14
192.73;0;108.51;50.03;-3491.49
193.45;7;193.45;30.28;-3406.55
202.49;8;202.49;40.1;-6997.51
209.88;6;87.44;40.1;-7112.56
212.58;10;212.58;130.61;-6987.42
213.42;7;213.42;19.93;-6986.58
218.78;9;218.78;218.78;-6981.22
226.8;5;226.8;60.02;-3373.2
238.92;9;238.92;145.32;-6961.08
247.46;5;247.46;20.35;-6952.54
253.31;11;253.31;253.31;-6946.69
255;2;255;255;-3345
264.95;2;264.95;130.58;-3335.05
269.23;9;192.66;30.02;-7007.34
296.44;1;296.44;219.87;-6903.56
300.58;5;300.58;300.58;-6899.42
306.49;1;306.49;306.49;-3293.51
317.93;7;317.93;317.93;-6882.07
320.51;5;320.51;133.48;-6879.49
330.74;5;330.74;330.74;-6869.26
337.37;4;337.37;337.37;-3262.63
346.36;8;346.36;346.36;-6853.64
347.37;11;347.37;93.82;-6852.63
350.98;5;350.98;50.21;-6849.02
354.54;6;354.54;354.54;-6845.46
357.34;1;357.34;50.43;-6842.66
357.38;11;357.38;247.76;-6842.62
362.6;3;219.89;207.56;-6980.11
364.54;6;364.54;154.62;-3235.46
366.63;8;213.52;184.18;-6986.48
367.58;11;367.58;197.72;-6832.42
370.86;5;370.86;39.91;-6829.14
374.34;0;374.34;374.34;-3225.66
380.35;10;380.35;167.73;-3219.65
384.36;0;384.36;191.5;-3215.64
394.63;6;182.01;40.05;-7017.99
404.55;0;404.55;19.96;-6795.45
407.53;11;407.53;60.04;-6792.47
411.47;9;304.36;142.19;-3295.64
414.87;6;414.87;50.08;-6785.13
424.1;2;424.1;169.06;-6775.9
434.45;2;434.45;434.45;-3165.55
434.97;6;434.97;40.11;-6765.03
444.46;2;444.46;20.05;-6755.54
454.27;2;299.24;19.77;-6900.76
455.03;6;455.03;19.95;-6744.97
459.64;7;459.64;459.64;-6740.36
462.7;11;462.7;105.16;-6737.3
473.16;3;473.16;473.16;-3126.84
479.06;5;479.06;128.03;-6720.94
486.28;9;128.91;74.77;-3471.09
488.33;4;488.33;488.33;-3111.67
488.84;5;366.79;168.02;-3233.21
490.52;1;490.52;353.74;-3109.48
509.35;5;509.35;509.35;-6690.65
510.13;8;327.68;307.57;-6872.32
511.01;1;271.8;214.53;-6928.2
529.77;5;529.77;50.61;-6670.23
533.07;2;533.07;533.07;-3066.93
540;4;403.38;402.71;-3196.62
543.13;2;288.09;277.82;-6911.91
544.41;10;544.41;544.41;-6655.59
549.76;5;284.45;60.55;-6915.55
550.04;4;550.04;61.51;-6649.96
550.88;11;550.88;143.09;-6649.12
557.43;6;557.43;557.43;-6642.57
567.31;6;567.31;567.31;-6632.69
570.38;4;376.89;30.34;-6823.11
580;0;490.47;457.56;-6709.53
580.05;5;580.05;50.23;-6619.95
580.59;4;580.59;30.51;-6619.41
583.38;2;276.47;39.89;-6923.53
590.71;4;476.93;20.21;-6723.07
600;0;600;600;-3000
600.34;5;486.02;20.25;-6713.98
601.39;3;601.39;128.18;-6598.61
605.15;9;605.15;118.82;-6594.85
606.39;7;606.39;146.7;-6593.61
607.64;6;607.64;40.01;-6592.36
620;0;483.22;39.95;-6716.78
631.48;3;448.08;268.79;-3151.92
655.29;11;655.29;655.29;-6544.71
655.87;10;145.58;111.38;-3454.42
669.04;8;669.04;302.36;-6530.96
675.8;10;675.8;675.8;-6524.2
679.27;8;188.54;168.98;-3411.46
681.32;3;90.56;79.89;-7109.44
685.76;11;685.76;685.76;-6514.24
696.16;10;166.34;40.21;-7033.66
702.47;7;592.93;384.47;-3007.07
709.25;8;709.25;39.92;-6490.75
716.1;11;716.1;253.23;-6483.9
