decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
0,0,1,True,-1,False,False,DummyTask,True,True,-1
0,0,10,True,-1,False,False,DummyTask,True,True,-1
0,0,11,True,-1,False,False,DummyTask,True,True,-1
0,0,3,True,-1,False,False,DummyTask,True,True,-1
0,0,5,True,-1,False,False,DummyTask,True,True,-1
0,0,4,True,-1,False,False,DummyTask,True,True,-1
0,0,12,True,-1,False,False,DummyTask,True,True,-1
0,0,13,True,-1,False,False,DummyTask,True,True,-1
0,0,14,True,-1,False,False,DummyTask,True,True,-1
0,0,7,True,-1,False,False,DummyTask,True,True,-1
1,32.4888888888888,1,False,31,True,False,ExtractTask,False,False,3
1,32.4888888888888,10,False,91,True,False,ExtractTask,True,False,2
1,32.4888888888888,11,True,-1,False,False,RestTask,True,True,-1
1,32.4888888888888,3,False,6,True,False,ExtractTask,True,False,3
1,32.4888888888888,5,True,-1,False,False,RestTask,True,True,-1
1,32.4888888888888,4,True,-1,False,False,RestTask,True,True,-1
1,32.4888888888888,12,False,27,True,False,ExtractTask,True,False,3
1,32.4888888888888,13,True,-1,False,False,RestTask,True,True,-1
1,32.4888888888888,14,True,-1,False,False,RestTask,True,True,-1
1,32.4888888888888,7,True,-1,False,False,RestTask,True,True,-1
2,36.311111111111,1,False,31,True,False,ExtractTask,False,False,3
2,36.311111111111,10,False,91,True,False,ExtractTask,True,False,2
2,36.311111111111,11,True,-1,False,False,RestTask,True,True,-1
2,36.311111111111,3,False,6,True,False,ExtractTask,True,False,3
2,36.311111111111,5,True,-1,False,False,RestTask,True,True,-1
2,36.311111111111,4,True,-1,False,False,RestTask,True,True,-1
2,36.311111111111,12,False,27,True,False,ExtractTask,True,False,3
2,36.311111111111,13,True,-1,False,False,RestTask,True,True,-1
2,36.311111111111,14,True,-1,False,False,RestTask,True,True,-1
2,36.311111111111,7,True,-1,False,False,RestTask,True,True,-1
3,42.5777777777776,1,False,31,True,False,ExtractTask,True,False,3
3,42.5777777777776,10,False,91,True,False,ExtractTask,True,False,2
3,42.5777777777776,11,True,-1,False,False,RestTask,True,True,-1
3,42.5777777777776,3,False,6,True,False,ExtractTask,True,False,3
3,42.5777777777776,5,True,-1,False,False,RestTask,True,True,-1
3,42.5777777777776,4,True,-1,False,False,RestTask,True,True,-1
3,42.5777777777776,12,False,27,True,False,ExtractTask,True,False,3
3,42.5777777777776,13,True,-1,False,False,RestTask,True,True,-1
3,42.5777777777776,14,True,-1,False,False,RestTask,True,True,-1
