Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M1G,6,0,1224.0,788.0,578.0,3.266,177.0,0.3062,14.70,1.642,321.5,15.06
M1G,6,1,1263.0,813.0,564.0,3.279,172.0,0.3050,14.49,1.707,341.9,12.41
M1G,6,2,1244.0,833.0,587.0,3.243,181.0,0.3083,15.09,1.744,340.6,13.62
M1G,6,3,1239.0,808.0,576.0,3.273,176.0,0.3056,14.69,1.693,338.3,13.99
M1G,6,4,1222.0,787.0,569.0,3.215,177.0,0.3111,14.96,1.694,322.0,15.18
M1G,6,5,1280.0,820.0,585.0,3.362,174.0,0.2974,15.26,1.725,321.3,11.14
M1G,6,6,1196.0,773.0,542.0,3.151,172.0,0.3173,15.29,1.755,314.4,16.97
M1G,6,7,1275.0,840.0,603.0,3.388,178.0,0.2952,14.52,1.625,312.1,11.52
M1G,6,8,1251.0,820.0,585.0,3.268,179.0,0.3060,14.56,1.654,304.0,13.19
M1G,6,9,1229.0,787.0,560.0,3.164,177.0,0.3161,15.04,1.720,328.7,14.70
M4G,6,0,1426.0,945.0,616.0,5.500,112.0,0.1818,9.87,1.197,804.0,1.03
M4G,6,1,1412.0,925.0,580.0,5.179,112.0,0.1931,9.56,1.211,908.8,2.00
M4G,6,2,1425.0,976.0,613.0,5.425,113.0,0.1843,9.02,1.169,809.9,1.11
M4G,6,3,1410.0,940.0,599.0,5.546,108.0,0.1803,8.94,1.128,901.3,2.16
M4G,6,4,1417.0,940.0,583.0,5.159,113.0,0.1938,9.25,1.208,783.2,1.66
M4G,6,5,1418.0,929.0,587.0,5.017,117.0,0.1993,9.93,1.255,763.4,1.60
M4G,6,6,1429.0,964.0,603.0,5.532,109.0,0.1808,9.09,1.163,844.8,0.83
M4G,6,7,1414.0,937.0,603.0,5.384,112.0,0.1857,9.34,1.173,822.5,1.82
M4G,6,8,1420.0,954.0,603.0,5.289,114.0,0.1891,9.49,1.212,797.6,1.43
M4G,6,9,1428.0,951.0,604.0,5.345,113.0,0.1871,9.24,1.179,872.5,0.90
M1G,10,0,1421.0,912.0,656.0,2.982,220.0,0.3354,17.00,1.941,352.8,1.38
M1G,10,1,1428.0,907.0,629.0,3.083,204.0,0.3243,16.53,1.966,406.2,0.91
M1G,10,2,1415.0,945.0,655.0,3.075,213.0,0.3252,16.54,1.982,382.3,1.81
M1G,10,3,1411.0,910.0,632.0,2.967,213.0,0.3370,16.97,2.016,383.8,2.08
M1G,10,4,1419.0,922.0,648.0,3.000,216.0,0.3333,16.61,1.962,401.2,1.48
M1G,10,5,1373.0,883.0,620.0,2.805,221.0,0.3565,18.22,2.141,381.5,4.76
M1G,10,6,1421.0,920.0,641.0,2.995,214.0,0.3339,16.63,1.977,372.2,1.42
M1G,10,7,1423.0,936.0,656.0,3.094,212.0,0.3232,16.26,1.918,340.5,1.27
M1G,10,8,1419.0,923.0,650.0,3.066,212.0,0.3262,16.93,1.970,350.5,1.50
M1G,10,9,1426.0,921.0,640.0,3.107,206.0,0.3219,16.05,1.931,365.0,1.03
M4G,10,0,1424.0,944.0,620.0,5.082,122.0,0.1968,10.59,1.299,795.7,1.19
M4G,10,1,1430.0,935.0,584.0,4.908,119.0,0.2038,10.34,1.335,833.8,0.72
M4G,10,2,1430.0,987.0,617.0,5.099,121.0,0.1961,10.14,1.310,762.4,0.73
M4G,10,3,1428.0,940.0,607.0,5.188,117.0,0.1928,10.42,1.313,766.5,0.89
M4G,10,4,1431.0,950.0,597.0,5.017,119.0,0.1993,10.68,1.367,772.0,0.70
M4G,10,5,1430.0,953.0,600.0,4.878,123.0,0.2050,10.73,1.354,782.0,0.81
M4G,10,6,1428.0,966.0,606.0,5.179,117.0,0.1931,10.00,1.292,772.0,0.94
M4G,10,7,1431.0,958.0,611.0,5.360,114.0,0.1866,9.96,1.266,879.7,0.70
M4G,10,8,1429.0,958.0,601.0,5.226,115.0,0.1913,10.17,1.318,741.8,0.88
M4G,10,9,1426.0,931.0,592.0,5.239,113.0,0.1909,10.46,1.317,771.8,1.00
