#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;0;2;2;0/60,1/60;0/28.13,1/38.84;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/7;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/4,1/3
119.96;0;0;2;2;0/119.96,1/118.13;0/28.31,1/39.02;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/3;0/11,1/5;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/9
179.96;1;1;2;2;0/179.96,1/138.89;0/28.4,1/39.29;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/0,1/0;0/0,1/1;0/9,1/10;0/3,1/2;0/5,1/5;0/0,1/1;0/0,1/1;0/0,1/5;0/16,1/15
239.96;1;2;2;2;0/239.96,1/180.22;0/28.58,1/39.47;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/0;0/2,1/0;0/8,1/11;0/3,1/2;0/5,1/5;0/0,1/1;0/1,1/1;0/0,1/6;0/22,1/21
299.96;1;2;2;2;0/279.96,1/240.22;0/28.93,1/39.78;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/0;0/0,1/3;0/6,1/7;0/3,1/2;0/5,1/5;0/0,1/1;0/1,1/1;0/2,1/6;0/28,1/27
360;2;4;2;2;0/340,1/270.27;0/29.42,1/40.13;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/2;0/9,1/5;0/3,1/2;0/5,1/5;0/0,1/2;0/2,1/2;0/2,1/9;0/34,1/32
420;3;4;2;2;0/400,1/310.27;0/29.82,1/40.67;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/1;0/15,1/11;0/3,1/2;0/5,1/5;0/0,1/3;0/2,1/2;0/2,1/11;0/40,1/38
480;5;6;2;2;0/460,1/354.62;0/30.09,1/41.02;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/0,1/2;0/12,1/11;0/3,1/2;0/5,1/5;0/0,1/5;0/3,1/3;0/2,1/13;0/45,1/44
540;5;6;2;2;0/520,1/390.27;0/30.36,1/41.38;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/3,1/0;0/8,1/10;0/3,1/2;0/5,1/5;0/0,1/5;0/3,1/3;0/2,1/15;0/51,1/50
