decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
0,0,1,True,-1,False,False,DummyTask,True,True,-1
0,0,10,True,-1,False,False,DummyTask,True,True,-1
0,0,11,True,-1,False,False,DummyTask,True,True,-1
0,0,3,True,-1,False,False,DummyTask,True,True,-1
0,0,5,True,-1,False,False,DummyTask,True,True,-1
0,0,4,True,-1,False,False,DummyTask,True,True,-1
0,0,12,True,-1,False,False,DummyTask,True,True,-1
0,0,13,True,-1,False,False,DummyTask,True,True,-1
0,0,14,True,-1,False,False,DummyTask,True,True,-1
0,0,7,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,1,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,10,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,11,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,3,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,5,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,4,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,12,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,13,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,14,True,-1,False,False,DummyTask,True,True,-1
0,0.0444444444444444,7,True,-1,False,False,DummyTask,True,True,-1
1,11.5555555555555,1,False,59,True,False,ExtractTask,False,False,3
1,11.5555555555555,10,True,-1,False,False,RestTask,False,True,-1
1,11.5555555555555,11,True,-1,False,False,RestTask,False,True,-1
1,11.5555555555555,3,True,-1,False,False,RestTask,False,True,-1
1,11.5555555555555,5,False,21,True,False,ExtractTask,False,False,3
1,11.5555555555555,4,True,-1,False,False,RestTask,True,True,-1
1,11.5555555555555,12,True,-1,False,False,RestTask,False,True,-1
1,11.5555555555555,13,True,-1,False,False,RestTask,False,True,-1
1,11.5555555555555,14,True,-1,False,False,RestTask,True,True,-1
1,11.5555555555555,7,True,-1,False,False,RestTask,False,True,-1
2,37.911111111111,1,False,59,True,False,ExtractTask,True,False,3
2,37.911111111111,10,True,-1,False,False,RestTask,True,True,-1
2,37.911111111111,11,True,-1,False,False,RestTask,True,True,-1
2,37.911111111111,3,True,-1,False,False,RestTask,True,True,-1
2,37.911111111111,5,False,21,True,False,ExtractTask,False,False,3
2,37.911111111111,4,True,-1,False,False,RestTask,True,True,-1
2,37.911111111111,12,True,-1,False,False,RestTask,True,True,-1
2,37.911111111111,13,True,-1,False,False,RestTask,True,True,-1
