#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
35.48;57;322;2;35.48;35.43
43.29;58;611;1;43.29;43.25
45.62;57;322;2;45.62;45.57
53.35;58;611;1;53.35;53.3
55.63;57;322;2;55.63;55.59
60.08;41;598;4;60.08;60.04
63.38;58;611;1;63.38;63.34
69.74;59;50;3;69.74;69.7
69.98;18;1029;2;69.98;69.93
70.11;41;598;4;70.11;70.07
73.16;45;54;5;73.16;73.12
73.8;36;60;0;73.8;73.75
78.17;6;679;1;78.17;78.12
79.78;59;50;3;79.78;79.74
80;18;1029;2;80;79.96
80.13;41;598;4;80.13;80.09
83.23;45;54;5;83.23;83.19
83.85;36;60;0;83.85;83.8
88.27;6;679;1;88.27;88.22
90.02;18;1029;2;90.02;89.98
95.16;56;489;4;95.16;95.11
95.32;47;1188;3;95.32;95.28
98.31;6;679;1;98.31;98.27
98.36;0;334;5;98.36;98.31
99.52;2;488;0;99.52;99.48
100.04;18;1029;2;100.04;100
105.23;56;489;4;105.23;105.19
105.35;47;1188;3;105.35;105.31
108.36;6;679;1;108.36;108.31
108.49;0;334;5;108.49;108.44
109.57;2;488;0;109.57;109.53
114.52;4;943;2;114.52;114.48
115.36;47;1188;3;115.36;115.32
118.53;0;334;5;118.53;118.49
119.58;2;488;0;119.58;119.53
120.2;21;267;4;120.2;120.16
122.66;22;779;1;122.66;122.61
124.56;4;943;2;124.56;124.52
128.54;0;334;5;128.54;128.5
129.63;23;535;3;129.63;129.59
130.21;21;267;4;130.21;130.17
132.7;22;779;1;132.7;132.66
134.61;4;943;2;134.61;134.56
134.65;38;439;0;134.65;134.61
139.68;23;535;3;139.68;139.63
140.26;21;267;4;140.26;140.21
142.74;22;779;1;142.74;142.7
142.88;34;725;5;142.88;142.84
144.64;4;943;2;144.64;144.6
144.69;38;439;0;144.69;144.64
149.7;23;535;3;149.7;149.65
152.78;22;779;1;152.78;152.73
152.97;34;725;5;152.97;152.93
158.98;10;1158;0;158.98;158.93
158.98;57;910;2;158.98;158.93
162.97;34;725;5;162.97;162.93
164.38;59;718;3;164.34;69.02
168.99;10;1158;0;168.99;168.94
168.99;57;910;2;168.99;168.94
174.4;59;718;3;174.4;79.04
177.93;58;125;1;177.93;177.89
178.11;15;1023;5;178.11;178.06
179.02;10;1158;0;179.02;178.97
179.02;57;910;2;179.02;178.97
184.45;59;718;3;184.4;89.08
188.11;58;125;1;188.11;188.06
188.2;15;1023;5;188.2;188.15
193.98;36;246;0;193.93;193.09
193.98;18;1059;2;193.98;193.93
195.81;41;1061;4;195.77;194.93
198.24;15;1023;5;198.24;198.2
199.27;47;148;3;199.27;199.23
202.45;6;140;1;202.4;201.56
204.02;36;246;0;203.98;203.14
204.02;18;1059;2;204.02;203.98
205.9;41;1061;4;205.86;205.02
208.28;15;1023;5;208.28;208.24
209.31;47;148;3;209.31;209.27
212.51;6;140;1;212.46;211.62
214.07;18;1059;2;214.07;214.02
215.94;41;1061;4;215.9;215.06
223.16;45;241;5;223.16;223.11
224.1;23;203;3;224.1;224.06
