#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/6;0/0,1/0;0/6,1/6;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;0;2;2;0/35.38,1/49.51;0/22.71,1/26.49;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/0;0/1,1/14;0/9,1/7;0/3,1/2;0/5,1/5;0/1,1/0;0/0,1/0;0/3,1/2;0/4,1/4
119.96;3;1;2;2;0/80.04,1/54.04;0/22.84,1/26.67;0/119.96,1/119.96;0/119.96,1/119.96;0/1,1/7;0/0,1/0;0/1,1/9;0/5,1/9;0/3,1/2;0/5,1/5;0/2,1/1;0/0,1/1;0/4,1/7;0/10,1/10
179.96;4;2;2;2;0/140.04,1/90.31;0/23.02,1/26.84;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/3;0/0,1/0;0/1,1/7;0/8,1/11;0/3,1/2;0/5,1/5;0/2,1/2;0/1,1/1;0/4,1/9;0/16,1/16
239.96;7;2;2;2;0/190.09,1/110.49;0/23.16,1/26.98;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/3;0/0,1/0;0/0,1/4;0/7,1/10;0/3,1/2;0/5,1/5;0/3,1/4;0/1,1/1;0/5,1/13;0/22,1/22
299.96;9;2;2;2;0/250.09,1/150.49;0/23.51,1/27.29;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/1;0/0,1/0;0/0,1/2;0/6,1/9;0/3,1/2;0/5,1/5;0/3,1/6;0/1,1/1;0/5,1/15;0/28,1/28
360;11;4;2;2;0/310.13,1/192.4;0/24,1/27.69;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/13;0/3,1/2;0/5,1/5;0/3,1/8;0/2,1/2;0/5,1/17;0/34,1/34
420;11;4;2;2;0/370.13,1/250.53;0/24.36,1/28.13;0/420,1/420;0/420,1/420;0/1,1/0;0/0,1/0;0/1,1/0;0/9,1/17;0/3,1/2;0/5,1/5;0/3,1/8;0/2,1/2;0/5,1/17;0/40,1/40
480;11;6;2;2;0/430.13,1/310.53;0/24.8,1/28.4;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/1,1/0;0/14,1/11;0/3,1/2;0/5,1/5;0/3,1/8;0/4,1/2;0/5,1/17;0/46,1/46
540;12;9;2;2;0/480.13,1/370.53;0/25.07,1/28.58;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/7;0/3,1/2;0/5,1/5;0/4,1/8;0/5,1/4;0/6,1/17;0/52,1/52
600;12;9;2;2;0/540.13,1/430.53;0/25.11,1/28.71;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/5,1/4;0/6,1/17;0/58,1/58
659.96;12;11;2;2;0/600.09,1/490.49;0/25.29,1/28.84;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/6,1/5;0/6,1/17;0/64,1/64
719.96;12;11;2;2;0/660.09,1/550.49;0/25.47,1/28.98;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/7;0/3,1/2;0/5,1/5;0/4,1/8;0/6,1/5;0/6,1/17;0/70,1/70
779.96;12;12;2;2;0/720.09,1/610.49;0/25.6,1/29.2;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/6,1/6;0/6,1/17;0/76,1/76
839.96;12;13;2;2;0/780.09,1/670.49;0/25.78,1/29.33;0/839.96,1/839.96;0/839.96,1/839.96;0/1,1/0;0/0,1/3;0/1,1/0;0/10,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/6,1/7;0/6,1/17;0/82,1/82
899.96;13;15;2;2;0/830.13,1/730.49;0/25.91,1/29.51;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/13;0/3,1/2;0/5,1/5;0/5,1/8;0/7,1/8;0/7,1/17;0/88,1/88
959.96;13;17;2;2;0/890.13,1/790.49;0/26.04,1/29.6;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/11;0/3,1/2;0/5,1/5;0/5,1/8;0/8,1/9;0/7,1/17;0/94,1/94
1019.96;13;17;2;2;0/950.13,1/850.49;0/26.18,1/29.73;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/11;0/3,1/2;0/5,1/5;0/5,1/8;0/8,1/9;0/7,1/17;0/100,1/100
1079.96;13;18;2;2;0/1010.13,1/910.49;0/26.27,1/29.78;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/7;0/3,1/2;0/5,1/5;0/5,1/8;0/8,1/10;0/7,1/17;0/106,1/106
1139.96;13;19;2;2;0/1070.13,1/970.49;0/26.36,1/29.96;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/14;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/10;0/7,1/17;0/112,1/112
1199.96;13;20;2;2;0/1130.13,1/1030.49;0/26.49,1/30.09;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/14;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/11;0/7,1/17;0/118,1/117
1259.96;17;21;2;2;0/1174.98,1/1069.2;0/26.62,1/30.27;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/0,1/6;0/0,1/0;0/3,1/7;0/13,1/15;0/3,1/2;0/5,1/5;0/7,1/10;0/9,1/12;0/9,1/20;0/124,1/123
1319.96;19;22;2;2;0/1200.36,1/1091.87;0/26.71,1/30.31;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/3;0/0,1/0;0/0,1/4;0/11,1/10;0/3,1/2;0/5,1/5;0/8,1/11;0/10,1/12;0/12,1/23;0/130,1/129
1379.96;21;23;2;2;0/1260.36,1/1136.04;0/26.84,1/30.44;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/1;0/0,1/0;0/0,1/2;0/15,1/11;0/3,1/2;0/5,1/5;0/8,1/13;0/11,1/12;0/12,1/25;0/136,1/135
1439.96;23;24;2;2;0/1320.36,1/1170.93;0/26.93,1/30.58;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/11;0/3,1/2;0/5,1/5;0/8,1/15;0/11,1/13;0/12,1/27;0/142,1/141
1499.96;23;25;2;2;0/1380.36,1/1230.93;0/27.02,1/30.67;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/7;0/3,1/2;0/5,1/5;0/8,1/15;0/12,1/13;0/12,1/27;0/148,1/147
1559.96;23;26;2;2;0/1440.36,1/1290.93;0/27.11,1/30.84;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/10;0/3,1/2;0/5,1/5;0/8,1/15;0/12,1/14;0/12,1/27;0/154,1/153
