#TimeStamp;TripTime;Type
29;18;O
30;16;O
31;23;I
32;17;O
35;21;O
41;11;O
42;28;I
45;26;O
48;27;O
49;28;O
51;29;I
52;32;I
53;34;O
57;30;I
66;34;O
67;56;O
77;48;O
79;48;I
91;50;I
94;81;O
122;27;I
149;32;I
161;32;I
171;39;I
178;41;O
178;31;O
196;21;I
202;49;O
206;38;I
220;58;I
239;39;O
239;26;O
257;65;O
261;23;O
269;40;I
274;40;I
278;35;I
291;47;I
302;35;O
303;64;I
310;34;I
310;36;I
321;80;I
329;34;O
338;45;O
339;47;I
367;74;O
374;34;O
377;37;O
388;40;I
389;23;I
391;26;I
393;42;I
398;25;I
401;47;I
412;26;O
413;36;I
430;38;I
431;26;I
442;30;O
443;42;I
469;26;I
475;34;O
479;26;O
487;34;I
495;22;I
506;29;I
509;43;I
513;44;I
520;43;O
523;43;I
534;31;I
535;11;O
540;31;I
549;46;I
558;23;O
575;34;O
587;24;I
595;27;O
598;20;I
