#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;6;12;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/10,1/9,2/11,3/9,4/8,5/10,6/10,7/10,8/8,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/10,1/9,2/11,3/9,4/8,5/10,6/10,7/10,8/8,9/0,10/0,11/0;0/2,1/1,2/1,3/1,4/1,5/1;0/1,1/1,2/1,3/1,4/1,5/1,6/1,7/1,8/1,9/1,10/1,11/2;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0
59.94;0;0;6;12;0/36.75,1/59.94,2/59.94,3/49.41,4/57.71,5/57.62;0/59.94,1/40.85,2/36.49,3/39.62,4/59.94,5/35.37,6/50.61,7/47.1,8/53.28,9/59.94,10/59.94,11/59.94;0/59.94,1/59.94,2/59.94,3/59.94,4/59.94,5/59.94;0/59.94,1/59.94,2/59.94,3/59.94,4/59.94,5/59.94,6/59.94,7/59.94,8/59.94,9/59.94,10/59.94,11/59.94;0/23,1/25,2/21,3/24,4/22,5/21;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/27,1/28,2/26,3/25,4/24,5/24;0/10,1/7,2/9,3/6,4/8,5/8,6/9,7/9,8/9,9/0,10/0,11/0;0/2,1/1,2/1,3/1,4/1,5/2;0/2,1/1,2/1,3/1,4/2,5/2,6/1,7/1,8/1,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/3,1/0,2/0,3/2,4/1,5/1;0/0,1/2,2/3,3/3,4/0,5/3,6/1,7/2,8/1,9/0,10/0,11/0
119.92;1;2;6;12;0/57.47,1/90.34,2/96.86,3/90.1,4/90.05,5/80.6;0/62.09,1/42.27,2/37.92,3/40.97,4/76.34,5/36.85,6/51.95,7/47.53,8/55.05,9/119.92,10/119.92,11/119.92;0/119.92,1/119.92,2/119.92,3/119.92,4/119.92,5/119.92;0/119.92,1/119.92,2/119.92,3/119.92,4/119.92,5/119.92,6/119.92,7/119.92,8/119.92,9/119.92,10/119.92,11/119.92;0/23,1/25,2/23,3/21,4/21,5/22;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/26,1/27,2/25,3/24,4/24,5/25;0/5,1/6,2/11,3/0,4/8,5/6,6/13,7/8,8/3,9/0,10/0,11/0;0/2,1/1,2/1,3/1,4/1,5/2;0/2,1/1,2/1,3/1,4/2,5/2,6/1,7/1,8/1,9/0,10/0,11/0;0/1,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/1,6/0,7/0,8/1,9/0,10/0,11/0;0/7,1/3,2/3,3/3,4/3,5/4;0/6,1/8,2/9,3/9,4/5,5/9,6/7,7/8,8/7,9/0,10/0,11/0
179.97;5;4;6;12;0/81.68,1/150.39,2/130.79,3/126.18,4/146.29,5/127.95;0/63.46,1/44.3,2/39.81,3/91.33,4/77.4,5/38.24,6/53.18,7/49.13,8/81.53,9/179.97,10/179.97,11/179.97;0/179.97,1/179.97,2/179.97,3/179.97,4/179.97,5/179.97;0/179.97,1/179.97,2/179.97,3/179.97,4/179.97,5/179.97,6/179.97,7/179.97,8/179.97,9/179.97,10/179.97,11/179.97;0/21,1/25,2/19,3/24,4/23,5/20;0/0,1/1,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/25,1/27,2/23,3/24,4/25,5/24;0/12,1/9,2/15,3/9,4/7,5/6,6/8,7/3,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/1,5/2;0/2,1/1,2/1,3/0,4/2,5/2,6/1,7/1,8/1,9/0,10/0,11/0;0/2,1/0,2/0,3/1,4/1,5/1;0/0,1/0,2/0,3/0,4/0,5/1,6/1,7/1,8/1,9/0,10/0,11/0;0/10,1/3,2/5,3/6,4/4,5/6;0/12,1/14,2/15,3/9,4/11,5/15,6/13,7/14,8/10,9/0,10/0,11/0
239.64;8;7;6;12;0/121.48,1/196.6,2/152.9,3/179.87,4/180.11,5/170.64;0/66.54,1/45.63,2/42.06,3/151,4/78.31,5/39.02,6/54.3,7/71.48,8/141.2,9/239.64,10/239.64,11/239.64;0/239.64,1/239.64,2/239.64,3/239.64,4/239.64,5/239.64;0/239.64,1/239.64,2/239.64,3/239.64,4/239.64,5/239.64,6/239.64,7/239.64,8/239.64,9/239.64,10/239.64,11/239.64;0/25,1/25,2/21,3/21,4/22,5/17;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/27,1/27,2/21,3/24,4/24,5/23;0/7,1/7,2/10,3/9,4/11,5/10,6/2,7/0,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/1,5/2;0/2,1/1,2/1,3/1,4/2,5/2,6/1,7/1,8/0,9/0,10/0,11/0;0/3,1/1,2/1,3/1,4/1,5/1;0/1,1/1,2/1,3/0,4/0,5/1,6/1,7/1,8/1,9/0,10/0,11/0;0/12,1/5,2/9,3/6,4/6,5/7;0/18,1/20,2/21,3/9,4/17,5/21,6/19,7/17,8/10,9/0,10/0,11/0
299.86;11;10;6;12;0/181.71,1/250.65,2/211,3/219.75,4/225.22,5/206.02;0/67.28,1/47.03,2/43.24,3/174.05,4/79.71,5/72.1,6/92.85,7/131.71,8/201.42,9/299.86,10/299.86,11/299.86;0/299.86,1/299.86,2/299.86,3/299.86,4/299.86,5/299.86;0/299.86,1/299.86,2/299.86,3/299.86,4/299.86,5/299.86,6/299.86,7/299.86,8/299.86,9/299.86,10/299.86,11/299.86;0/23,1/23,2/18,3/23,4/24,5/21;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/27,1/27,2/21,3/23,4/24,5/24;0/5,1/14,2/10,3/5,4/11,5/9,6/10,7/0,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/2,5/2;0/2,1/2,2/1,3/1,4/2,5/2,6/0,7/0,8/0,9/0,10/0,11/0;0/3,1/1,2/1,3/2,4/2,5/2;0/1,1/2,2/1,3/1,4/1,5/1,6/1,7/1,8/1,9/0,10/0,11/0;0/12,1/5,2/9,3/9,4/8,5/10;0/24,1/26,2/27,3/13,4/23,5/23,6/21,7/17,8/10,9/0,10/0,11/0
359.96;17;12;6;12;0/203.39,1/276.98,2/241.96,3/270.56,4/280.55,5/231.38;0/68.5,1/47.88,2/45.01,3/182.23,4/80.99,5/83.22,6/152.94,7/191.8,8/261.52,9/359.96,10/359.96,11/359.96;0/359.96,1/359.96,2/359.96,3/359.96,4/359.96,5/359.96;0/359.96,1/359.96,2/359.96,3/359.96,4/359.96,5/359.96,6/359.96,7/359.96,8/359.96,9/359.96,10/359.96,11/359.96;0/23,1/24,2/18,3/20,4/22,5/19;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/25,1/26,2/20,3/23,4/24,5/23;0/3,1/9,2/9,3/0,4/5,5/5,6/10,7/0,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/2,5/2;0/2,1/1,2/1,3/1,4/2,5/2,6/1,7/0,8/0,9/0,10/0,11/0;0/5,1/3,2/2,3/2,4/2,5/3;0/2,1/2,2/1,3/1,4/1,5/2,6/1,7/1,8/1,9/0,10/0,11/0;0/16,1/9,2/12,3/9,4/8,5/13;0/30,1/32,2/32,3/18,4/29,5/29,6/21,7/17,8/10,9/0,10/0,11/0
419.99;24;15;6;12;0/242.09,1/325.73,2/282.29,3/316.9,4/320.72,5/270.25;0/69.29,1/49.41,2/46.07,3/242.27,4/83.84,5/83.89,6/167.11,7/251.84,8/321.55,9/419.99,10/419.99,11/419.99;0/419.99,1/419.99,2/419.99,3/419.99,4/419.99,5/419.99;0/419.99,1/419.99,2/419.99,3/419.99,4/419.99,5/419.99,6/419.99,7/419.99,8/419.99,9/419.99,10/419.99,11/419.99;0/23,1/23,2/19,3/21,4/23,5/23;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/25,1/26,2/19,3/22,4/25,5/24;0/10,1/5,2/3,3/0,4/0,5/0,6/8,7/0,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/2,5/2;0/2,1/1,2/1,3/0,4/2,5/2,6/2,7/0,8/0,9/0,10/0,11/0;0/6,1/4,2/3,3/3,4/3,5/5;0/2,1/3,2/2,3/1,4/1,5/2,6/2,7/1,8/1,9/0,10/0,11/0;0/18,1/10,2/14,3/11,4/10,5/16;0/36,1/38,2/38,3/18,4/34,5/34,6/26,7/17,8/10,9/0,10/0,11/0
479.74;28;16;6;12;0/282.01,1/351.17,2/337.38,3/360.67,4/360.9,5/311.88;0/70.68,1/50.93,2/47.34,3/302.01,4/143.58,5/143.45,6/167.93,7/311.58,8/381.3,9/479.74,10/479.74,11/479.74;0/479.74,1/479.74,2/479.74,3/479.74,4/479.74,5/479.74;0/479.74,1/479.74,2/479.74,3/479.74,4/479.74,5/479.74,6/479.74,7/479.74,8/479.74,9/479.74,10/479.74,11/479.74;0/23,1/23,2/18,3/19,4/20,5/20;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/25,1/25,2/19,3/22,4/24,5/24;0/8,1/11,2/11,3/7,4/0,5/0,6/8,7/0,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/2,5/2;0/2,1/2,2/2,3/2,4/0,5/0,6/2,7/0,8/0,9/0,10/0,11/0;0/7,1/5,2/4,3/3,4/4,5/5;0/3,1/3,2/2,3/1,4/1,5/2,6/2,7/1,8/1,9/0,10/0,11/0;0/20,1/13,2/15,3/12,4/12,5/17;0/42,1/44,2/44,3/18,4/34,5/34,6/32,7/17,8/10,9/0,10/0,11/0
539.86;35;21;6;12;0/322.16,1/389.31,2/382.35,3/411.6,4/401.51,5/332.88;0/72.07,1/51.95,2/57.55,3/313.03,4/203.7,5/203.57,6/169.29,7/371.7,8/441.42,9/539.86,10/539.86,11/539.86;0/539.86,1/539.86,2/539.86,3/539.86,4/539.86,5/539.86;0/539.86,1/539.86,2/539.86,3/539.86,4/539.86,5/539.86,6/539.86,7/539.86,8/539.86,9/539.86,10/539.86,11/539.86;0/22,1/20,2/18,3/19,4/22,5/20;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/24,1/23,2/20,3/21,4/24,5/22;0/3,1/12,2/6,3/6,4/8,5/0,6/2,7/0,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/2,5/2;0/2,1/2,2/2,3/2,4/0,5/0,6/2,7/0,8/0,9/0,10/0,11/0;0/8,1/7,2/4,3/4,4/5,5/7;0/4,1/4,2/3,3/2,4/1,5/2,6/3,7/1,8/1,9/0,10/0,11/0;0/22,1/16,2/16,3/13,4/14,5/21;0/48,1/50,2/49,3/24,4/34,5/34,6/38,7/17,8/10,9/0,10/0,11/0
599.96;39;25;6;12;0/362.47,1/431.51,2/422.61,3/451.11,4/436.82,5/392.98;0/79.31,1/52.6,2/59.85,3/314.18,4/222.37,5/263.68,6/205.42,7/431.81,8/501.52,9/599.96,10/599.96,11/599.96;0/599.96,1/599.96,2/599.96,3/599.96,4/599.96,5/599.96;0/599.96,1/599.96,2/599.96,3/599.96,4/599.96,5/599.96,6/599.96,7/599.96,8/599.96,9/599.96,10/599.96,11/599.96;0/19,1/19,2/20,3/19,4/21,5/18;0/0,1/0,2/1,3/2,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/23,1/23,2/20,3/21,4/24,5/22;0/12,1/11,2/14,3/8,4/7,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/2,1/2,2/1,3/1,4/2,5/2;0/2,1/2,2/2,3/2,4/2,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/9,1/7,2/5,3/4,4/7,5/7;0/5,1/5,2/3,3/3,4/2,5/2,6/3,7/1,8/1,9/0,10/0,11/0;0/24,1/17,2/18,3/15,4/17,5/21;0/53,1/56,2/55,3/30,4/39,5/34,6/40,7/17,8/10,9/0,10/0,11/0
