#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
35.98;10;212;0;35.98;35.94
46.06;10;212;0;46.06;46.02
49.18;18;91;3;49.18;49.14
56.11;10;212;0;56.11;56.06
57.32;15;54;5;57.32;57.28
57.62;0;359;4;57.62;57.58
59.27;18;91;3;59.27;59.23
63.57;6;159;1;63.57;63.52
67.62;15;54;5;67.62;67.58
67.67;0;359;4;67.67;67.62
69.27;18;91;3;69.27;69.23
73.73;6;159;1;73.73;73.69
77.67;15;54;5;77.67;77.62
77.71;0;359;4;77.71;77.67
83.78;6;159;1;83.78;83.73
85.79;2;1158;0;85.79;85.75
87.71;15;54;5;87.71;87.67
96.04;2;1158;0;96.04;95.99
96.17;4;8;2;96.17;96.13
106.08;2;1158;0;106.08;106.04
106.4;4;8;2;106.4;106.35
116.13;2;1158;0;116.13;116.08
116.44;4;8;2;116.44;116.4
126.47;4;8;2;126.47;126.43
130.79;10;290;0;130.79;130.75
136.52;4;8;2;136.52;136.47
141.01;10;290;0;141.01;140.97
151.06;10;290;0;151.06;151.01
155.76;18;547;3;155.76;155.71
165.91;18;547;3;165.91;165.87
166.93;15;692;5;166.93;166.89
175.95;18;547;3;175.95;175.91
176;0;990;4;176;175.95
176.99;15;692;5;176.99;176.95
186.16;0;990;4;186.16;186.11
187.03;15;692;5;187.03;186.99
196.2;0;990;4;196.2;196.16
201.67;4;797;2;201.67;201.62
211.22;2;488;0;211.22;211.17
211.76;4;797;2;211.76;211.72
221.34;2;488;0;221.34;221.3
221.81;4;797;2;221.81;221.76
225.76;6;27;1;225.71;224.87
231.85;4;797;2;231.85;231.81
235.8;6;27;1;235.76;234.92
274.74;12;784;5;274.74;274.7
279.06;18;971;3;279.02;103.07
284.33;0;221;4;284.33;284.28
284.79;12;784;5;284.79;284.74
289.11;18;971;3;289.11;113.11
294.6;0;221;4;294.6;294.56
294.82;12;784;5;294.82;294.78
299.15;18;971;3;299.11;123.15
309.86;14;156;1;309.82;236.09
309.93;15;867;5;309.93;309.88
314.78;4;521;2;314.78;314.74
315.74;2;764;0;315.69;314.85
319.93;14;156;1;319.88;246.15
320.06;15;867;5;320.06;320.02
325;4;521;2;325;324.95
325.89;2;764;0;325.85;325.01
330.11;15;867;5;330.11;330.06
335.04;4;521;2;335.04;335
341.35;10;686;0;341.31;340.47
345.83;6;277;1;345.83;345.79
351.39;10;686;0;351.34;350.5
356.01;6;277;1;356.01;355.97
392.6;12;334;5;392.6;392.56
393.98;4;677;2;393.98;393.93
397.92;2;794;0;397.88;176.54
398.71;0;254;4;398.71;398.66
402.65;12;334;5;402.65;402.6
404.28;4;677;2;404.28;404.24
406.08;18;995;3;406.08;406.04
407.94;2;794;0;407.9;186.56
408.81;0;254;4;408.81;408.77
414.37;14;305;1;414.33;178.53
416.14;18;995;3;416.14;416.1
418.42;15;484;5;418.37;119.22
424.78;14;305;1;424.74;188.94
426.19;18;995;3;426.19;426.14
428.46;15;484;5;428.42;129.27
434.87;3;313;4;434.83;433.99
440.02;6;611;1;440.02;439.98
445.25;3;313;4;445.21;444.37
448.95;10;795;0;448.91;237.61
450.17;6;611;1;450.17;450.13
459.04;10;795;0;459;247.7
475.04;4;910;2;475.04;475
485.09;4;910;2;485.09;485.04
490.42;12;230;5;454.36;87.73
496.84;14;626;1;496.84;496.8
500.61;12;230;5;464.55;97.92
507.12;14;626;1;507.12;507.08
514.87;0;378;4;513.98;116.05
516.02;15;596;5;515.14;123.38
517.71;2;730;0;443.93;109.72
525.25;0;378;4;524.36;126.43
526.2;15;596;5;525.31;133.55
527.73;2;730;0;453.95;119.74
530.27;18;1166;3;530.27;530.22
537.77;6;636;1;537.73;536.89
540.67;18;1166;3;540.67;540.63
546.77;10;856;0;546.73;545.89
547.81;6;636;1;547.77;546.93
550.68;18;1166;3;550.68;550.63
556.81;10;856;0;556.77;555.93
557.81;3;506;4;557.77;480.06
567.86;3;506;4;567.81;490.11
575.23;4;1029;2;575.23;575.19
585.31;4;1029;2;585.31;585.27
594.96;0;640;4;594.96;594.92
602.66;15;732;5;602.66;602.62
605.04;0;640;4;605.04;605
612.19;2;952;0;612.19;612.14
612.72;15;732;5;612.72;612.68
615.09;18;225;3;615.09;615.05
622.23;2;952;0;622.23;622.19
625.24;18;225;3;625.24;625.2
627.42;12;471;5;342.59;111.22
637.68;12;471;5;637.68;121.48
