#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
36.56;15;691;2;36.56;36.52
40.35;7;443;0;40.35;40.3
46.6;15;691;2;46.6;46.56
50.39;7;443;0;50.39;50.35
54.75;19;124;1;54.75;54.71
56.65;15;691;2;56.65;56.6
60.41;7;443;0;60.41;60.36
64.78;19;124;1;64.78;64.73
66.65;15;691;2;66.65;66.61
67.11;44;751;3;67.11;67.07
70.44;7;443;0;70.44;70.4
73.04;31;123;5;73.04;73
74.82;19;124;1;74.82;74.78
76.69;15;691;2;76.69;76.64
77.32;44;751;3;77.32;77.28
80.49;7;443;0;80.49;80.44
83.09;31;123;5;83.09;83.04
84.87;19;124;1;84.87;84.82
86.7;15;691;2;86.7;86.66
87.37;44;751;3;87.37;87.32
90.53;7;443;0;90.53;90.48
91;38;786;4;91;90.96
93.13;31;123;5;93.13;93.09
94.91;19;124;1;94.91;94.87
96.75;15;691;2;96.75;96.7
97.37;44;751;3;97.37;97.33
100.57;7;443;0;100.57;100.53
101.03;38;786;4;101.03;100.98
103.18;31;123;5;103.18;103.13
104.92;19;124;1;104.92;104.87
106.77;15;691;2;106.77;106.73
107.38;44;751;3;107.38;107.34
110.62;7;443;0;110.62;110.57
111.04;38;786;4;111.04;110.99
113.22;31;123;5;113.22;113.18
114.92;19;124;1;114.92;114.88
116.81;15;691;2;116.81;116.77
117.42;44;751;3;117.42;117.38
120.62;7;443;0;120.62;120.57
121.08;38;786;4;121.08;121.04
123.27;31;123;5;123.27;123.22
124.93;19;124;1;124.93;124.89
126.85;15;691;2;126.85;126.81
127.47;44;751;3;127.47;127.42
130.64;7;443;0;130.64;130.59
131.09;38;786;4;131.09;131.04
133.3;31;123;5;133.3;133.26
134.94;19;124;1;134.94;134.89
136.9;15;691;2;136.9;136.85
140.68;7;443;0;140.68;140.64
141.13;38;786;4;141.13;141.09
142.39;20;90;3;142.39;142.34
143.35;31;123;5;143.35;143.3
144.94;19;124;1;144.94;144.9
146.94;15;691;2;146.94;146.9
150.69;7;443;0;150.69;150.65
151.15;38;786;4;151.15;151.11
152.54;20;90;3;152.54;152.5
153.39;31;123;5;153.39;153.35
154.99;19;124;1;154.99;154.94
156.99;15;691;2;156.99;156.94
162.59;20;90;3;162.59;162.54
165.95;33;296;0;165.95;165.9
165.95;18;159;4;165.95;165.9
169.95;3;100;1;169.95;169.91
171.94;1;1052;2;171.94;171.9
172.61;20;90;3;172.61;172.57
174.04;12;220;5;174.04;173.99
175.95;33;296;0;175.95;175.91
175.95;18;159;4;175.95;175.91
179.99;3;100;1;179.99;179.95
182.04;1;1052;2;182.04;181.99
182.66;20;90;3;182.66;182.61
184.12;12;220;5;184.12;184.07
186;33;296;0;186;185.95
186;18;159;4;186;185.95
190.04;3;100;1;190.04;189.99
192.08;1;1052;2;192.08;192.04
192.7;20;90;3;192.7;192.66
194.14;12;220;5;194.14;194.09
196.04;33;296;0;196.04;195.99
196.04;18;159;4;196.04;195.99
200.08;3;100;1;200.08;200.04
202.13;1;1052;2;202.13;202.08
202.74;20;90;3;202.74;202.69
204.16;12;220;5;204.16;204.12
206.06;33;296;0;206.06;206.01
206.06;18;159;4;206.06;206.01
210.11;3;100;1;210.11;210.07
212.17;1;1052;2;212.17;212.13
212.75;20;90;3;212.75;212.7
214.21;12;220;5;214.21;214.16
216.1;33;296;0;216.1;216.06
216.1;18;159;4;216.1;216.06
220.15;3;100;1;220.15;220.11
222.22;1;1052;2;222.22;222.17
222.79;20;90;3;222.79;222.75
224.25;12;220;5;224.25;224.21
226.14;33;296;0;226.14;226.1
226.14;18;159;4;226.14;226.1
230.18;3;100;1;230.18;230.13
232.26;1;1052;2;232.26;232.22
232.82;20;90;3;232.82;232.77
234.3;12;220;5;234.3;234.25
236.15;33;296;0;236.15;236.11
236.15;18;159;4;236.15;236.11
240.21;3;100;1;240.21;240.16
242.31;1;1052;2;242.31;242.26
242.86;20;90;3;242.86;242.82
246.16;33;296;0;246.16;246.11
